floors,layout,per_room_occ,responders,mean_ms,median_ms,std_ms,best_ms,n
1,BASELINE,1,8,185.43171677461777,185.43171677461777,0.0,185.43171677461777,4
1,BASELINE,1,9,185.43171677461777,185.43171677461777,0.0,185.43171677461777,4
1,BASELINE,1,10,185.43171677461777,185.43171677461777,0.0,185.43171677461777,4
1,BASELINE,1,7,205.92908816145032,205.92908816145032,23.668325775735017,185.43171677461777,4
1,BASELINE,2,8,193.43171677461777,193.43171677461777,0.0,193.43171677461777,4
1,BASELINE,2,9,193.43171677461777,193.43171677461777,0.0,193.43171677461777,4
1,BASELINE,2,10,193.43171677461777,193.43171677461777,0.0,193.43171677461777,4
1,BASELINE,2,7,217.92908816145032,217.92908816145032,28.287127929252023,193.43171677461777,4
1,BASELINE,3,8,201.43171677461777,201.43171677461777,0.0,201.43171677461777,4
1,BASELINE,3,9,201.43171677461777,201.43171677461777,0.0,201.43171677461777,4
1,BASELINE,3,10,201.43171677461777,201.43171677461777,0.0,201.43171677461777,4
1,BASELINE,3,7,229.92908816145032,229.92908816145032,32.905930082769025,201.43171677461777,4
1,L,1,10,202.2007106386717,202.2007106386717,0.0,202.2007106386717,4
1,L,1,9,209.8040304890958,209.8040304890958,8.779557524754358,202.2007106386717,4
1,BASELINE,4,8,209.43171677461777,209.43171677461777,0.0,209.43171677461777,4
1,BASELINE,4,9,209.43171677461777,209.43171677461777,0.0,209.43171677461777,4
1,BASELINE,4,10,209.43171677461777,209.43171677461777,0.0,209.43171677461777,4
1,BASELINE,4,7,241.92908816145032,241.92908816145032,37.524732236286034,209.43171677461777,4
1,L,1,8,217.4073503395199,217.4073503395199,0.0,217.4073503395199,4
1,L,1,7,246.34862619221974,246.34862619221974,33.418506808494946,217.4073503395199,4
1,BASELINE,5,8,217.43171677461777,217.43171677461777,0.0,217.43171677461777,4
1,BASELINE,5,9,217.43171677461777,217.43171677461777,0.0,217.43171677461777,4
1,BASELINE,5,10,217.43171677461777,217.43171677461777,0.0,217.43171677461777,4
1,BASELINE,5,7,253.92908816145032,253.92908816145032,42.14353438980304,217.43171677461777,4
1,L,2,10,218.2007106386717,218.2007106386717,0.0,218.2007106386717,4
1,L,2,9,225.8040304890958,225.8040304890958,8.779557524754358,218.2007106386717,4
1,BASELINE,6,8,225.43171677461777,225.43171677461777,0.0,225.43171677461777,4
1,BASELINE,6,9,225.43171677461777,225.43171677461777,0.0,225.43171677461777,4
1,BASELINE,6,10,225.43171677461777,225.43171677461777,0.0,225.43171677461777,4
1,BASELINE,6,7,265.9290881614503,265.9290881614503,46.76233654332004,225.43171677461777,4
1,BASELINE,1,6,226.42645954828288,226.42645954828288,0.0,226.42645954828288,4
1,BASELINE,1,5,232.42908816145032,232.42908816145032,6.931238491315149,226.42645954828288,4
1,L,2,8,233.4073503395199,233.4073503395199,0.0,233.4073503395199,4
1,L,2,7,266.34862619221974,266.34862619221974,38.03730896201195,233.4073503395199,4
1,BASELINE,7,8,233.43171677461777,233.43171677461777,0.0,233.43171677461777,4
1,BASELINE,7,9,233.43171677461777,233.43171677461777,0.0,233.43171677461777,4
1,BASELINE,7,10,233.43171677461777,233.43171677461777,0.0,233.43171677461777,4
1,BASELINE,7,7,277.9290881614503,277.9290881614503,51.38113869683704,233.43171677461777,4
1,L,3,10,234.2007106386717,234.2007106386717,0.0,234.2007106386717,4
1,L,3,9,241.8040304890958,241.8040304890958,8.779557524754358,234.2007106386717,4
1,BASELINE,1,4,238.43171677461777,238.43171677461777,0.0,238.43171677461777,4
1,BASELINE,1,3,284.32832188917394,284.32832188917394,52.99683463555794,238.43171677461777,4
1,BASELINE,8,8,241.43171677461777,241.43171677461777,0.0,241.43171677461777,4
